"Data","Município1","UF1","Escala de cor","Número de registros","Índice De Isolamento"
"5/20/2020","SÃO PAULO","SP",">50-60%","1","51%"
"5/19/2020","SÃO PAULO","SP",">40-50%","1","49%"
"5/18/2020","SÃO PAULO","SP",">50-60%","1","50%"
"5/17/2020","SÃO PAULO","SP",">50-60%","1","56%"
"5/16/2020","SÃO PAULO","SP",">50-60%","1","52%"
"4/1/2020","SÃO PAULO","SP",">50-60%","1","56%"
"5/1/2020","SÃO PAULO","SP",">50-60%","1","55%"
"4/2/2020","SÃO PAULO","SP",">50-60%","1","56%"
"5/2/2020","SÃO PAULO","SP",">50-60%","1","52%"
"4/3/2020","SÃO PAULO","SP",">50-60%","1","56%"
"5/3/2020","SÃO PAULO","SP",">50-60%","1","58%"
"4/4/2020","SÃO PAULO","SP",">50-60%","1","58%"
"5/4/2020","SÃO PAULO","SP",">40-50%","1","48%"
"3/5/2020","SÃO PAULO","SP","Até 40%","1","28%"
"4/5/2020","SÃO PAULO","SP",">50-60%","1","59%"
"5/5/2020","SÃO PAULO","SP",">40-50%","1","48%"
"3/6/2020","SÃO PAULO","SP","Até 40%","1","27%"
"4/6/2020","SÃO PAULO","SP",">50-60%","1","54%"
"5/6/2020","SÃO PAULO","SP",">40-50%","1","47%"
"4/7/2020","SÃO PAULO","SP",">50-60%","1","52%"
"5/7/2020","SÃO PAULO","SP",">40-50%","1","48%"
"4/8/2020","SÃO PAULO","SP",">50-60%","1","51%"
"5/8/2020","SÃO PAULO","SP",">40-50%","1","46%"
"4/9/2020","SÃO PAULO","SP",">40-50%","1","48%"
"5/9/2020","SÃO PAULO","SP",">50-60%","1","50%"
"4/10/2020","SÃO PAULO","SP",">50-60%","1","56%"
"5/10/2020","SÃO PAULO","SP",">50-60%","1","54%"
"4/11/2020","SÃO PAULO","SP",">50-60%","1","54%"
"5/11/2020","SÃO PAULO","SP",">40-50%","1","49%"
"3/12/2020","SÃO PAULO","SP","Até 40%","1","25%"
"4/12/2020","SÃO PAULO","SP",">50-60%","1","58%"
"5/12/2020","SÃO PAULO","SP",">40-50%","1","48%"
"3/13/2020","SÃO PAULO","SP","Até 40%","1","29%"
"4/13/2020","SÃO PAULO","SP",">40-50%","1","50%"
"5/13/2020","SÃO PAULO","SP",">40-50%","1","48%"
"4/14/2020","SÃO PAULO","SP",">40-50%","1","50%"
"5/14/2020","SÃO PAULO","SP",">40-50%","1","49%"
"4/15/2020","SÃO PAULO","SP",">40-50%","1","50%"
"5/15/2020","SÃO PAULO","SP",">40-50%","1","48%"
"4/16/2020","SÃO PAULO","SP",">40-50%","1","49%"
"3/17/2020","SÃO PAULO","SP","Até 40%","1","38%"
"4/17/2020","SÃO PAULO","SP",">40-50%","1","49%"
"3/18/2020","SÃO PAULO","SP",">40-50%","1","40%"
"4/18/2020","SÃO PAULO","SP",">50-60%","1","53%"
"3/19/2020","SÃO PAULO","SP",">40-50%","1","43%"
"4/19/2020","SÃO PAULO","SP",">50-60%","1","58%"
"3/20/2020","SÃO PAULO","SP",">40-50%","1","45%"
"4/20/2020","SÃO PAULO","SP",">50-60%","1","51%"
"3/21/2020","SÃO PAULO","SP",">50-60%","1","57%"
"4/21/2020","SÃO PAULO","SP",">50-60%","1","57%"
"3/22/2020","SÃO PAULO","SP",">50-60%","1","56%"
"4/22/2020","SÃO PAULO","SP",">40-50%","1","48%"
"3/23/2020","SÃO PAULO","SP",">50-60%","1","53%"
"4/23/2020","SÃO PAULO","SP",">40-50%","1","48%"
"3/24/2020","SÃO PAULO","SP",">50-60%","1","55%"
"4/24/2020","SÃO PAULO","SP",">40-50%","1","48%"
"3/25/2020","SÃO PAULO","SP",">50-60%","1","55%"
"4/25/2020","SÃO PAULO","SP",">50-60%","1","52%"
"3/26/2020","SÃO PAULO","SP",">50-60%","1","55%"
"4/26/2020","SÃO PAULO","SP",">50-60%","1","58%"
"3/27/2020","SÃO PAULO","SP",">50-60%","1","55%"
"4/27/2020","SÃO PAULO","SP",">40-50%","1","48%"
"3/28/2020","SÃO PAULO","SP",">50-60%","1","56%"
"4/28/2020","SÃO PAULO","SP",">40-50%","1","48%"
"3/29/2020","SÃO PAULO","SP",">50-60%","1","59%"
"4/29/2020","SÃO PAULO","SP",">40-50%","1","48%"
"3/30/2020","SÃO PAULO","SP",">50-60%","1","57%"
"4/30/2020","SÃO PAULO","SP",">40-50%","1","47%"
"3/31/2020","SÃO PAULO","SP",">50-60%","1","56%"
