Data;Município1;UF1;Escala de cor;Número de registros;Índice De Isolamento
20/05/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;49%
19/05/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;48%
18/05/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;49%
17/05/2020;ESTADO DE SÃO PAULO;SP;>50-60%;1;54%
16/05/2020;ESTADO DE SÃO PAULO;SP;>50-60%;1;50%
05/03/2020;ESTADO DE SÃO PAULO;SP;Até 40%;1;30%
06/03/2020;ESTADO DE SÃO PAULO;SP;Até 40%;1;29%
12/03/2020;ESTADO DE SÃO PAULO;SP;Até 40%;1;28%
13/03/2020;ESTADO DE SÃO PAULO;SP;Até 40%;1;30%
17/03/2020;ESTADO DE SÃO PAULO;SP;Até 40%;1;38%
18/03/2020;ESTADO DE SÃO PAULO;SP;Até 40%;1;40%
19/03/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;42%
20/03/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;44%
21/03/2020;ESTADO DE SÃO PAULO;SP;>50-60%;1;56%
22/03/2020;ESTADO DE SÃO PAULO;SP;>50-60%;1;56%
23/03/2020;ESTADO DE SÃO PAULO;SP;>50-60%;1;52%
24/03/2020;ESTADO DE SÃO PAULO;SP;>50-60%;1;54%
25/03/2020;ESTADO DE SÃO PAULO;SP;>50-60%;1;54%
26/03/2020;ESTADO DE SÃO PAULO;SP;>50-60%;1;54%
27/03/2020;ESTADO DE SÃO PAULO;SP;>50-60%;1;53%
28/03/2020;ESTADO DE SÃO PAULO;SP;>50-60%;1;56%
29/03/2020;ESTADO DE SÃO PAULO;SP;>50-60%;1;59%
30/03/2020;ESTADO DE SÃO PAULO;SP;>50-60%;1;55%
31/03/2020;ESTADO DE SÃO PAULO;SP;>50-60%;1;55%
01/04/2020;ESTADO DE SÃO PAULO;SP;>50-60%;1;55%
02/04/2020;ESTADO DE SÃO PAULO;SP;>50-60%;1;55%
03/04/2020;ESTADO DE SÃO PAULO;SP;>50-60%;1;54%
04/04/2020;ESTADO DE SÃO PAULO;SP;>50-60%;1;57%
05/04/2020;ESTADO DE SÃO PAULO;SP;>50-60%;1;59%
06/04/2020;ESTADO DE SÃO PAULO;SP;>50-60%;1;52%
07/04/2020;ESTADO DE SÃO PAULO;SP;>50-60%;1;51%
08/04/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;50%
09/04/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;47%
10/04/2020;ESTADO DE SÃO PAULO;SP;>50-60%;1;57%
11/04/2020;ESTADO DE SÃO PAULO;SP;>50-60%;1;55%
12/04/2020;ESTADO DE SÃO PAULO;SP;>50-60%;1;59%
13/04/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;50%
14/04/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;50%
15/04/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;50%
16/04/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;49%
17/04/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;49%
18/04/2020;ESTADO DE SÃO PAULO;SP;>50-60%;1;54%
19/04/2020;ESTADO DE SÃO PAULO;SP;>50-60%;1;59%
20/04/2020;ESTADO DE SÃO PAULO;SP;>50-60%;1;51%
21/04/2020;ESTADO DE SÃO PAULO;SP;>50-60%;1;57%
22/04/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;48%
23/04/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;48%
24/04/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;48%
25/04/2020;ESTADO DE SÃO PAULO;SP;>50-60%;1;52%
26/04/2020;ESTADO DE SÃO PAULO;SP;>50-60%;1;58%
27/04/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;48%
28/04/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;48%
29/04/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;47%
30/04/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;46%
01/05/2020;ESTADO DE SÃO PAULO;SP;>50-60%;1;56%
02/05/2020;ESTADO DE SÃO PAULO;SP;>50-60%;1;53%
03/05/2020;ESTADO DE SÃO PAULO;SP;>50-60%;1;59%
04/05/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;47%
05/05/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;47%
06/05/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;47%
07/05/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;47%
08/05/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;46%
09/05/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;50%
10/05/2020;ESTADO DE SÃO PAULO;SP;>50-60%;1;53%
11/05/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;48%
12/05/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;47%
13/05/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;47%
14/05/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;48%
15/05/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;47%
